#thickness,repetition,unprocessed,length,width,saw blade thickness,edge cutting,number of sub-panels,panel utilization,number of layers,type,material,color,AutoCUT10.24.8.7 Standard [Solver 5.0]
18,1,1,2800,2050,4.8,15,29,0.430344,1,Grained,,
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
0,3,0,2800,984.6,4,15,-1,0,0,2050,2050,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
28,0,0,702,702,0,0,22,15,15,380,380,0,18_5
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#layer data(label item shall conform to template label)
#layer number,number of panels,label item
0,1,18
#code (key word - unique in the cutting pattern),BarCode,category,CutLen,CutWid,thickness,BarCodequantity,rotate,texture,Swap,TLArrow,Fill,product,material,color,Label photo,Edge,Remarks,OrderNo,Drilling,FinLength,FinWidth,Milling,GroupNo,CarNo,Routing
1_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
2_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
3_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
4_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
5_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
6_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
7_3,DRAW BOTTOM,Grained,382,348,18,219,0,,0,0,,,,,,,,,,,,,,,
8_3,DRAW BOTTOM,Grained,382,348,18,219,0,,0,0,,,,,,,,,,,,,,,
9_3,DRAW BOTTOM,Grained,382,348,18,219,0,,0,0,,,,,,,,,,,,,,,
10_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
11_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
12_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
13_2,BACK,Grained,702,414,18,73,0,,0,0,,,,,,,,,,,,,,,
14_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
15_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
16_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
17_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
18_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
